@relation R_data_frame

@attribute a numeric
@attribute b numeric
@attribute ph numeric
@attribute Class {1,2,3}

@data
5.5,16.1,5.75,2
5.3,14.7,5.74,2
5,12,5.7,2
5.9,13.9,5.7,2
7.8,12.3,5.63,2
4.1,12.2,5.75,2
4.8,11,5.86,2
6.7,13.5,5.88,2
5.7,13.1,5.82,2
5.4,15.3,5.59,2
6.6,15.5,5.71,2
6.1,16.2,5.68,2
4.2,13.7,5.68,2
8.4,15.6,5.8,2
6.8,13.2,5.96,2
4.5,12.6,5.8,2
4.9,13.5,6.01,2
6,16,5.81,2
6.5,14.7,5.88,2
3.9,11.1,5.9,2
4.7,14.5,5.63,2
