@relation R_data_frame

@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute Class {1,2,3}

@data
14.7,34.52,5.53,2
12.7,33.31,5.54,2
16.1,33.04,5.75,2
14.7,29.02,5.74,2
12,32.73,5.7,2
13.9,23.58,5.7,2
12.3,24.92,5.63,2
12.2,31.6,5.75,2
11,28.22,5.86,2
13.5,22.69,5.88,2
13.1,29.42,5.82,2
15.3,32.84,5.59,2
15.5,28.43,5.71,2
16.2,32.41,5.68,2
13.7,26.36,5.68,2
15.6,30.4,5.8,2
13.2,24.73,5.96,2
12.6,33.47,5.8,2
13.5,28.22,6.01,2
16,30.14,5.81,2
14.7,30.39,5.88,2
11.1,27.53,5.9,2
14.5,22.94,5.63,2
