@relation R_data_frame

@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute PAP numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
49.7,5.4,11.7,28.14,0.276,3
49.2,5.8,11.9,25.2,0.336,3
52.7,4.7,11.9,27.91,0.4,3
51.2,6.4,14.8,29.43,0.478,3
53.6,5.8,14.8,22.54,0.495,3
52.3,4.6,12.2,25.89,0.431,3
48.3,7.3,10.8,31.07,0.331,3
47.6,4.7,11.1,30.26,0.384,3
52.1,4.9,13.4,28.89,0.628,3
51,5.3,12.4,27.82,0.321,3
51.9,3.9,11.1,29.55,0.308,3
50.7,5.5,12.5,27.08,0.38,3
54.4,4.5,12.6,33.47,0.277,2
53.2,5.5,12.7,33.31,0.32,2
52.8,5.5,16.1,33.04,0.32,2
51.3,5.3,14.7,29.02,0.333,2
54.5,6.8,13.1,29.99,0.338,2
54.4,4.7,14.5,22.94,0.342,2
54,4.2,12.7,22.78,0.367,2
55.9,5.8,16.4,28.49,0.373,2
51.8,6.8,13.2,24.73,0.38,2
55.3,3.5,12.2,24.95,0.381,2
55.9,4.1,12.2,31.6,0.387,2
55.1,5.8,13.8,25.41,0.388,2
53.4,5.9,13.9,23.58,0.393,2
54.2,6.7,13.5,22.69,0.396,2
52.3,8.8,17.3,27.86,0.398,2
54.1,6.3,13.2,27.24,0.402,2
54.6,7.6,16,31.26,0.404,2
55.4,4.1,13.1,26.48,0.407,2
50.3,8.4,15.6,30.4,0.408,2
53.2,4.6,12,21.07,0.411,2
56.5,4.6,14.2,20.79,0.412,2
54,4.9,13.5,28.22,0.418,2
51.9,5.5,12.2,27.17,0.419,2
54.2,6.6,15.5,28.43,0.422,2
54.5,4.2,13.7,26.36,0.423,2
50.7,4.8,11,28.22,0.427,2
51.4,6.8,14.3,29.43,0.428,2
54.4,5.2,14.2,29.28,0.436,2
52,3.9,11.1,27.53,0.44,2
54.3,5.3,14.4,25.9,0.443,2
54.9,4.5,12.7,29.42,0.447,2
52.1,6.3,12.6,24.7,0.45,2
54.7,3.8,13.5,28,0.462,2
54.1,6.7,15.4,24.42,0.464,2
52.4,6.8,14.7,34.52,0.474,2
52.7,7.8,12.3,24.92,0.478,2
56.6,8.3,16.4,30.37,0.494,2
56.2,5,14.5,31.57,0.498,2
54.9,4.4,13.3,28.75,0.499,2
53.2,5.7,12.5,26.45,0.5,2
51.9,6.1,13.2,21.93,0.501,2
51.1,5,12,32.73,0.512,2
52.7,7.7,14.4,24.9,0.519,2
50.6,4.3,10.1,20.02,0.527,2
56,6.1,16.2,32.41,0.528,2
51.6,5.7,13.1,29.42,0.541,2
55.8,6.5,17.9,30.1,0.549,2
54.4,6,16,30.14,0.618,2
54.1,5.4,15.3,32.84,0.667,2
53.4,6.5,14.7,30.39,0.707,2
52.7,7.5,15.5,26.11,0.744,2
54.7,3.8,13.5,28,0.462,2
54.9,4.5,12.7,29.42,0.447,2
54.3,5.3,14.4,25.9,0.443,2
51.9,6.1,13.2,21.93,0.501,2
50.6,4.3,10.1,20.02,0.527,2
53.2,5.7,12.5,26.45,0.5,2
52.1,6.3,12.6,24.7,0.45,2
54.9,4.4,13.3,28.75,0.499,2
54.1,6.7,15.4,24.42,0.464,2
52.3,8.8,17.3,27.86,0.398,2
56.5,4.6,14.2,20.79,0.412,2
55.4,4.1,13.1,26.48,0.407,2
56.6,8.3,16.4,30.37,0.494,2
54.5,6.8,13.1,29.99,0.338,2
52.7,7.7,14.4,24.9,0.519,2
55.9,5.8,16.4,28.49,0.373,2
54.1,6.3,13.2,27.24,0.402,2
53.2,4.6,12,21.07,0.411,2
55.8,6.5,17.9,30.1,0.549,2
52.4,6.8,14.7,34.52,0.474,2
53.2,5.5,12.7,33.31,0.32,2
52.8,5.5,16.1,33.04,0.32,2
51.3,5.3,14.7,29.02,0.333,2
51.1,5,12,32.73,0.512,2
53.4,5.9,13.9,23.58,0.393,2
52.7,7.8,12.3,24.92,0.478,2
55.9,4.1,12.2,31.6,0.387,2
50.7,4.8,11,28.22,0.427,2
54.2,6.7,13.5,22.69,0.396,2
51.6,5.7,13.1,29.42,0.541,2
54.1,5.4,15.3,32.84,0.667,2
54.2,6.6,15.5,28.43,0.422,2
56,6.1,16.2,32.41,0.528,2
54.5,4.2,13.7,26.36,0.423,2
50.3,8.4,15.6,30.4,0.408,2
51.8,6.8,13.2,24.73,0.38,2
54.4,4.5,12.6,33.47,0.277,2
54,4.9,13.5,28.22,0.418,2
54.4,6,16,30.14,0.618,2
53.4,6.5,14.7,30.39,0.707,2
52,3.9,11.1,27.53,0.44,2
54.4,4.7,14.5,22.94,0.342,2
